#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  89
#! SET periodic_phi true
   -3.141592654 -957.018716847  -48.139546933
   -3.070995066 -960.251090964  -43.425298206
   -3.000397478 -963.046528408  -35.558434282
   -2.929799890 -965.358619305  -30.061353565
   -2.859202303 -967.374513812  -26.995485628
   -2.788604715 -969.110831191  -22.168737759
   -2.718007127 -970.443740720  -14.684834538
   -2.647409540 -971.089272254   -3.198215562
   -2.576811952 -970.955456977    5.962149102
   -2.506214364 -970.384844140    9.151740360
   -2.435616776 -969.862961833    5.140888061
   -2.365019189 -969.679562733    0.146146935
   -2.294421601 -969.757766530   -1.177406218
   -2.223824013 -969.787895501    0.131836969
   -2.153226425 -969.641467653    3.779058558
   -2.082628838 -969.375067870    3.338389959
   -2.012031250 -969.311711142   -1.206543054
   -1.941433662 -969.534286992   -5.002458376
   -1.870836075 -969.934817555   -5.981380905
   -1.800238487 -970.339445124   -6.123054919
   -1.729640899 -970.860732857   -9.380732713
   -1.659043311 -971.656673749  -14.024481216
   -1.588445724 -972.851799620  -18.679096288
   -1.517848136 -974.231873233  -18.500673424
   -1.447250548 -975.253177006   -9.203531856
   -1.376652961 -975.435724071    4.015559480
   -1.306055373 -974.734443386   15.604638104
   -1.235457785 -973.399295478   21.507668349
   -1.164860197 -971.748043416   24.610669031
   -1.094262610 -969.902831458   28.082197573
   -1.023665022 -967.782557231   32.067493252
   -0.953067434 -965.394608512   34.745830749
   -0.882469847 -962.964963091   33.446566200
   -0.811872259 -960.773676581   28.191333015
   -0.741274671 -958.900459997   24.906292230
   -0.670677083 -957.129213760   26.223763855
   -0.600079496 -955.134328824   30.998316515
   -0.529481908 -952.719428193   37.593837160
   -0.458884320 -949.891095932   41.768462781
   -0.388286732 -946.967006851   39.742337839
   -0.317689145 -944.379938035   32.061528591
   -0.247091557 -942.449492523   21.890467736
   -0.176493969 -941.248967816   13.524093833
   -0.105896382 -940.464678501    9.555107777
   -0.035298794 -939.831636303    8.856900779
    0.035298794 -939.252348244    6.948939321
    0.105896382 -938.984426308   -0.368042203
    0.176493969 -939.520559989  -15.411360349
    0.247091557 -941.176266600  -31.199276238
    0.317689145 -943.773484780  -41.441119919
    0.388286732 -946.884340441  -45.863815646
    0.458884320 -950.164662657  -47.606662166
    0.529481908 -953.591589355  -49.271670729
    0.600079496 -957.151785171  -51.252390999
    0.670677083 -960.652853064  -47.674473067
    0.741274671 -963.699801239  -37.643082403
    0.811872259 -965.960558705  -25.987960030
    0.882469847 -967.429916082  -15.606859860
    0.953067434 -968.296015809   -9.601886918
    1.023665022 -968.829063760   -5.621173663
    1.094262610 -969.018338414    0.508211742
    1.164860197 -968.576463298   12.374072961
    1.235457785 -967.155986272   28.647973838
    1.306055373 -964.594773282   44.040957423
    1.376652961 -961.042316316   56.615723740
    1.447250548 -956.736398115   64.940330598
    1.517848136 -951.932947062   70.731993900
    1.588445724 -946.861696341   72.790644446
    1.659043311 -941.743180011   71.795877838
    1.729640899 -936.745029540   69.039637966
    1.800238487 -932.017520634   64.731136910
    1.870836075 -927.571862169   60.694249506
    1.941433662 -923.411882729   56.312364377
    2.012031250 -919.735184353   47.076930441
    2.082628838 -916.804227441   34.706035418
    2.153226425 -914.904464679   18.222284861
    2.223824013 -914.256517019    0.689374276
    2.294421601 -914.730526169  -13.733634014
    2.365019189 -916.104392963  -24.387196623
    2.435616776 -918.148951705  -33.265474601
    2.506214364 -920.744675084  -40.844843925
    2.576811952 -923.947519272  -50.019877449
    2.647409540 -927.813842490  -59.972500255
    2.718007127 -932.331088384  -66.471925530
    2.788604715 -937.111527366  -68.059543845
    2.859202303 -941.812699679  -64.231173463
    2.929799890 -946.094975847  -57.225964338
    3.000397478 -949.955053564  -52.372786091
    3.070995066 -953.553087699  -49.727906859
