#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  89
#! SET periodic_phi true
   -3.141592654   18.417007225  -48.139546933
   -3.070995066   15.184633107  -43.425298206
   -3.000397478   12.389195663  -35.558434282
   -2.929799890   10.077104766  -30.061353565
   -2.859202303    8.061210260  -26.995485628
   -2.788604715    6.324892880  -22.168737759
   -2.718007127    4.991983351  -14.684834538
   -2.647409540    4.346451817   -3.198215562
   -2.576811952    4.480267094    5.962149102
   -2.506214364    5.050879931    9.151740360
   -2.435616776    5.572762239    5.140888061
   -2.365019189    5.756161338    0.146146935
   -2.294421601    5.677957541   -1.177406218
   -2.223824013    5.647828571    0.131836969
   -2.153226425    5.794256419    3.779058558
   -2.082628838    6.060656202    3.338389959
   -2.012031250    6.124012929   -1.206543054
   -1.941433662    5.901437079   -5.002458376
   -1.870836075    5.500906516   -5.981380905
   -1.800238487    5.096278948   -6.123054919
   -1.729640899    4.574991214   -9.380732713
   -1.659043311    3.779050322  -14.024481216
   -1.588445724    2.583924451  -18.679096288
   -1.517848136    1.203850838  -18.500673424
   -1.447250548    0.182547065   -9.203531856
   -1.376652961    0.000000000    4.015559480
   -1.306055373    0.701280686   15.604638104
   -1.235457785    2.036428593   21.507668349
   -1.164860197    3.687680655   24.610669031
   -1.094262610    5.532892613   28.082197573
   -1.023665022    7.653166840   32.067493252
   -0.953067434   10.041115559   34.745830749
   -0.882469847   12.470760980   33.446566200
   -0.811872259   14.662047490   28.191333015
   -0.741274671   16.535264074   24.906292230
   -0.670677083   18.306510311   26.223763855
   -0.600079496   20.301395247   30.998316515
   -0.529481908   22.716295879   37.593837160
   -0.458884320   25.544628139   41.768462781
   -0.388286732   28.468717220   39.742337839
   -0.317689145   31.055786036   32.061528591
   -0.247091557   32.986231548   21.890467736
   -0.176493969   34.186756255   13.524093833
   -0.105896382   34.971045570    9.555107777
   -0.035298794   35.604087769    8.856900779
    0.035298794   36.183375827    6.948939321
    0.105896382   36.451297763   -0.368042203
    0.176493969   35.915164082  -15.411360349
    0.247091557   34.259457471  -31.199276238
    0.317689145   31.662239291  -41.441119919
    0.388286732   28.551383630  -45.863815646
    0.458884320   25.271061415  -47.606662166
    0.529481908   21.844134716  -49.271670729
    0.600079496   18.283938900  -51.252390999
    0.670677083   14.782871007  -47.674473067
    0.741274671   11.735922832  -37.643082403
    0.811872259    9.475165366  -25.987960030
    0.882469847    8.005807989  -15.606859860
    0.953067434    7.139708262   -9.601886918
    1.023665022    6.606660311   -5.621173663
    1.094262610    6.417385657    0.508211742
    1.164860197    6.859260773   12.374072961
    1.235457785    8.279737800   28.647973838
    1.306055373   10.840950789   44.040957423
    1.376652961   14.393407756   56.615723740
    1.447250548   18.699325956   64.940330598
    1.517848136   23.502777009   70.731993900
    1.588445724   28.574027730   72.790644446
    1.659043311   33.692544060   71.795877838
    1.729640899   38.690694532   69.039637966
    1.800238487   43.418203437   64.731136910
    1.870836075   47.863861903   60.694249506
    1.941433662   52.023841342   56.312364377
    2.012031250   55.700539718   47.076930441
    2.082628838   58.631496631   34.706035418
    2.153226425   60.531259392   18.222284861
    2.223824013   61.179207052    0.689374276
    2.294421601   60.705197902  -13.733634014
    2.365019189   59.331331108  -24.387196623
    2.435616776   57.286772366  -33.265474601
    2.506214364   54.691048987  -40.844843925
    2.576811952   51.488204799  -50.019877449
    2.647409540   47.621881581  -59.972500255
    2.718007127   43.104635687  -66.471925530
    2.788604715   38.324196705  -68.059543845
    2.859202303   33.623024393  -64.231173463
    2.929799890   29.340748224  -57.225964338
    3.000397478   25.480670507  -52.372786091
    3.070995066   21.882636372  -49.727906859
